Category,Sub Category,Product,Price,Stars_and_Count,,,,
Health & Household,Automotive,"Amazon Basics Microfiber Cleaning Cloths, Lint Free, Absorbent, Streak Free, Non-Abrasive, Reusable and Washable, Pack of 24, Blue/White/Yellow, 16"" x 12""",$8.99 ,"4.7 out of 5 stars 79,465  ",,,,
Health & Household,Tools & Home Improvement,"Amazon Basics Multipurpose Drawstring Trash Bags, 30 Gallon, 50 Count (Previously Solimo)",$12.37 ,"4.6 out of 5 stars 24,937  ",,,,
Industrial & Scientific,Home & Kitchen,"Amazon Basics Non-Scratch Sponges, 6-Pack",$4.78 ,"4.4 out of 5 stars 13,296  ",,,,
Industrial & Scientific,Home & Kitchen,"Amazon Basics Replacement Water Filters for Filtered Water Pitchers - Brita Pitcher Compatible, Clean & Crisp, WQA & NSF Certified, Made in Europe (3 Count)",$12.79 ,"4.6 out of 5 stars 36,126  ",,,,
Industrial & Scientific,Tools & Home Improvement,"Amazon Basics Replacement Water Filters for Filtered Water Pitchers - Brita Pitcher Compatible, Clean & Crisp, WQA & NSF Certified, Made in Europe (3 Count)",$12.79 ,"4.6 out of 5 stars 36,126  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics RJ45 Cat 6 Ethernet Patch Cable, 10Gpbs High-Speed Cable, 250MHz, Snagless, 15 Foot, Black",$7.20 ,"4.7 out of 5 stars 8,317  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics RJ45 Cat-6 Ethernet Patch Cable, 1Gpbs Transfer Speed, Gold-Plated Connectors, 50 Foot for PC, TV, Tablet, Router, Printer, Black",$9.99 ,"4.7 out of 5 stars 136,568  ",,,,
Luggage,,"Amazon Basics Rolling Duffel Bag with Wheels, Ripstop Luggage for Traveling, Telescoping Handle, 35"", Black",$106.99 ,"4.4 out of 5 stars 5,747  ",,,,
Health & Household,Home & Kitchen,"Amazon Basics Trash Bags, Tall Kitchen Drawstring, Unscented, 13 Gallon, 120 Count, Pack of 1",$16.72 ,"4.6 out of 5 stars 41,790  ",,,,
Health & Household,Tools & Home Improvement,"Amazon Basics Trash Bags, Tall Kitchen Drawstring, Unscented, 13 Gallon, 120 Count, Pack of 1",$16.72 ,"4.6 out of 5 stars 41,790  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics USB-A to Lightning Charger Cable, Nylon Braided Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 3 Foot, Rose Gold",$9.99 ,"4.6 out of 5 stars 73,774  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics USB-A to Mini USB 2.0 Cable, 480Mbps Transfer Speed with Gold-Plated Plugs, 6 Foot, Black",$6.59 ,"4.6 out of 5 stars 64,867  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"Amazon Basics USB-A to USB-B 2.0 Cable with 480 Mbps Transfer Speed for Printer or External Hard Drive, Gold-Plated Connectors, 10 Foot, Black",$6.58 ,"4.7 out of 5 stars 131,940  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics USB-A to USB-B 2.0 Cable with 480 Mbps Transfer Speed for Printer or External Hard Drive, Gold-Plated Connectors, 10 Foot, Black",$6.58 ,"4.7 out of 5 stars 131,940  ",,,,
Industrial & Scientific,Everything Else,"Amazon Basics USB-C to USB-C Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 16/15, iPad, Samsung Galaxy, Tablets, Laptops, 9 Foot, White",$7.99 ,"4.4 out of 5 stars 5,532  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"Amazon Basics USB-C to USB-C Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Fast Charging Apple iPhone 16/15, iPad, MacBook, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",$7.99 ,"4.6 out of 5 stars 14,594  ",,,,
Industrial & Scientific,Electronics,"Amazon Basics USB-C to USB-C Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Fast Charging Apple iPhone 16/15, iPad, MacBook, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",$7.99 ,"4.6 out of 5 stars 14,594  ",,,,
Pet Supplies,Automotive,"Amazon Basics Waterproof Car Back Bench Seat Cover Protector for Dog - 56 x 47 inch, Black",$28.49 ,"4.4 out of 5 stars 11,580  ",,,,
Health & Household,Automotive,"Amazon Basics Window Squeegee with Handle for Car Windows, Glass, Mirror, Black",$9.99 ,"4.4 out of 5 stars 6,743  ",,,,
Baby,Baby Products,"Amazon Brand - Mama Bear Gentle Fragrance Free Baby Wipes, Hypoallergenic, Sensitive Skin, Unscented, 800 Count (8 Packs of 100)",$19.76 ,"4.5 out of 5 stars 14,771  ",,,,
Baby,Health & Household,"Amazon Brand - Mama Bear Gentle Fragrance Free Baby Wipes, Hypoallergenic, Sensitive Skin, Unscented, 800 Count (8 Packs of 100)",$19.76 ,"4.5 out of 5 stars 14,771  ",,,,
Health & Household,Baby Products,"Amazon Brand - Mama Bear Gentle Fragrance Free Baby Wipes, Hypoallergenic, Sensitive Skin, Unscented, 800 Count (8 Packs of 100)",$19.76 ,"4.5 out of 5 stars 14,771  ",,,,
Health & Household,Home & Kitchen,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",$28.40 ,"4.7 out of 5 stars 110,453  ",,,,
Health & Household,Industrial & Scientific,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",$28.40 ,"4.7 out of 5 stars 110,453  ",,,,
Industrial & Scientific,Health & Household,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",$28.40 ,"4.7 out of 5 stars 110,453  ",,,,
Industrial & Scientific,Home & Kitchen,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",$28.40 ,"4.7 out of 5 stars 110,453  ",,,,
Industrial & Scientific,Industrial & Scientific,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",$28.40 ,"4.7 out of 5 stars 110,453  ",,,,
Women's Fashion,,Amazon Essentials,$13.30 ,"4.4 out of 5 stars 149,720  ",,,,
Women's Fashion,,Amazon Essentials,$13.30 ,"4.6 out of 5 stars 67,557  ",,,,
Girls' Fashion,,Amazon Essentials,$18.90 ,"4.6 out of 5 stars 2,171  ",,,,
Boys' Fashion,,"Amazon Essentials Boys and Toddlers' Cotton Jersey Shorts, Pack of 3",$20.00 ,4.7 out of 5 stars 29  ,,,,
Boys' Fashion,,Amazon Essentials Hoodies - Boys' Zip-Up Sweatshirt,$12.83 ,"4.6 out of 5 stars 8,803  ",,,,
Movies & Television,,American Made [Blu-ray],$14.68 ,"4.6 out of 5 stars 21,098  ",,,,
Automotive,Automotive,"ANCEL AD310 Classic Enhanced Universal OBD II Scanner Car Engine Fault Code Reader CAN Diagnostic Scan Tool, Read and Clear Error Codes for 1996 or Newer OBD2 Protocol Vehicle (Black)",$20.99 ,"4.6 out of 5 stars 53,486  ",,,,
Tools & Home Improvement,,"ANCEL AD310 Classic Enhanced Universal OBD II Scanner Car Engine Fault Code Reader CAN Diagnostic Scan Tool, Read and Clear Error Codes for 1996 or Newer OBD2 Protocol Vehicle (Black)",$20.99 ,"4.6 out of 5 stars 53,486  ",,,,
Pet Supplies,Everything Else,"Andiker Cat Spiral Spring, 12 Pc Cat Creative Toy to Kill Time and Keep Fit Interactive Cat Toy Sturdy Heavy Plastic Spring Colorful Springs Cat Toy for Swatting, Biting, Hunting Kitten Toys",$5.39 ,"4.6 out of 5 stars 15,354  ",,,,
Pet Supplies,Pet Supplies,"Andiker Cat Spiral Spring, 12 Pc Cat Creative Toy to Kill Time and Keep Fit Interactive Cat Toy Sturdy Heavy Plastic Spring Colorful Springs Cat Toy for Swatting, Biting, Hunting Kitten Toys",$5.39 ,"4.6 out of 5 stars 15,354  ",,,,
Pet Supplies,Beauty & Personal Care,"Andis 63980 UltraEdge Detachable Clipper Blade, Size 3/4"" HT, 3/4-Inch Cut Length",$53.70 ,4.6 out of 5 stars 738  ,,,,
Pet Supplies,Beauty & Personal Care,"Andis 65720 Pin Brush for Medium & Long Hair Dogs - Gentle & Effective in Removing Dirt, Dust & Loose Hair - Promotes Healthy Skin & Coat - Large, Green/White",$16.75 ,4.6 out of 5 stars 565  ,,,,
Pet Supplies,Beauty & Personal Care,Andis Blade Care Plus Jar,$15.25 ,4.6 out of 5 stars 578  ,,,,
Pet Supplies,Grocery & Gourmet Food,"Angel Dear - Pink Lamb, Blankie, 1x1x1 Inch (Pack of 1)",$15.00 ,4.7 out of 5 stars 295  ,,,,
Pet Supplies,Toys & Games,"Angel Dear - Tiger, Blankie",$13.00 ,4.8 out of 5 stars 245  ,,,,
Health & Household,Health & Household,"Angel Soft Toilet Paper, 16 Mega Rolls = 64 Regular Rolls, Soft and Strong Toilet Tissue",$12.49 ,"4.7 out of 5 stars 65,883  ",,,,
Baby,Baby Products,Angelcare Baby Bath Support (Gray) | Ideal for Babies Less Than 6 Months Old,$19.78 ,"4.8 out of 5 stars 29,296  ",,,,
Baby,Home & Kitchen,Angelcare Baby Bath Support (Gray) | Ideal for Babies Less Than 6 Months Old,$19.78 ,"4.8 out of 5 stars 29,296  ",,,,
Baby,Electronics,"Angelcare Bobbi The Whale Ceiling Night Light Projector for Babies and Kids, Sleep Soother with Adjustable Volume Lullabies, White Noises, 3 Night Light Intensities",$34.99 ,4.2 out of 5 stars 353  ,,,,
Baby,Home & Kitchen,"Anico EASZZZ Baby Night Light, Nursery Night Lamp for Breastfeeding, Soft BPA Free Silicone Touch Night Lamp, Eye Caring, Easy Flip Design, Stepless Dimming, 1-Pack",$29.99 ,"4.4 out of 5 stars 1,323  ",,,,
Baby,Tools & Home Improvement,"Anico EASZZZ Baby Night Light, Nursery Night Lamp for Breastfeeding, Soft BPA Free Silicone Touch Night Lamp, Eye Caring, Easy Flip Design, Stepless Dimming, 1-Pack",$29.99 ,"4.4 out of 5 stars 1,323  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"Anker USB C to USB C Cable, Type C 60W Fast Charging Cable (3.3FT, 2Pack) for iPhone 16 Series, iPad Mini 6 and More (USB 2.0,Black)",$9.99 ,"4.7 out of 5 stars 6,078  ",,,,
Industrial & Scientific,Electronics,"Anker USB C to USB C Cable, Type C 60W Fast Charging Cable (3.3FT, 2Pack) for iPhone 16 Series, iPad Mini 6 and More (USB 2.0,Black)",$9.99 ,"4.7 out of 5 stars 6,078  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"Anker USB C to USB C Cable, Type C Charging Cord Fast Charge(10FT,100W), for iPhone 16/16 pro, MacBook and More(USB 2.0,Black)",$9.99 ,"4.7 out of 5 stars 19,995  ",,,,
Industrial & Scientific,Electronics,"Anker USB C to USB C Cable, Type C Charging Cord Fast Charge(10FT,100W), for iPhone 16/16 pro, MacBook and More(USB 2.0,Black)",$9.99 ,"4.7 out of 5 stars 19,995  ",,,,
Industrial & Scientific,"Patio, Lawn & Garden","Annin Flagmakers (2710) Tough-Tex American Flag, Made in USA, 3 x 5 Feet, Polyester",$36.14 ,"4.7 out of 5 stars 20,862  ",,,,
Baby,Video Games,Anno 1800 Console Edition (PS5),$24.99 ,4.3 out of 5 stars 144  ,,,,
Women's Fashion,,ANRABESS,$14.99 ,4.6 out of 5 stars 387  ,,,,
Women's Fashion,,ANRABESS,$8.99 ,4.4 out of 5 stars 256  ,,,,
Beauty & Personal Care,,"Anua Heartleaf Pore Control Cleansing Oil, Oil Cleanser for Face, Makeup Blackhead Remover, Korean Skin Care 6.76 fl oz(200ml) (original)",$17.69 ,"4.3 out of 5 stars 16,726  ",,,,
Luggage,,"AnyZip Carry On Luggage 2PCS Luggage Set PC ABS Hardshell Lightweight Suitcase TSA Lock with 4 Spinner WheelsÔº?4/20, BlackÔº?,$99.99,4.6 out of 5 stars 709  
Luggage,,TydeCkare 20 Inch Carry On Luggage with Front Zipper Pocket", 45L, Lightweight ABS+PC Hardshell Suitcase with TSA Lock & Spinner Silent Wheels, Convenient for Business Trips," Gray""",,4.0 out of 5 stars 410  
Beauty & Personal Care,,"AOA Studio Collection makeup Sponge Set Latex Free and High-definition Set of 6 makeup Wonder blender For Powder Cream and Liquid, Super Soft Wonder Beauty Cosmetic",$9.95 ,"4.7 out of 5 stars 18,840  ",,,,
Industrial & Scientific,Video Games,"Aokin AV Cable for Wii Wii U, Audio Video AV Cable Cord for Nintendo Wii and Wii U, 1.8M/6FT, Compatible for Television",$6.99 ,"4.7 out of 5 stars 2,171  ",,,,
Electronics,,"AOSU Security Cameras Outdoor Wireless, 4-Cam-Kit, 166¬∞ Ultra-Wide-Angle, Battery Powered, No Subscription, Home Security Cameras System with 2K Color Night Vision, Spotlight, Easy Setup, Motion Alert",$239.99 ,"4.4 out of 5 stars 2,044  ",,,,
Industrial & Scientific,"Clothing, Shoes & Jewelry","AOZITA 4 Pack, 2 oz Dropper Bottles with 1 Funnel & 4 Labels - Essential Oils Bottles for Health, Personal Care & Beauty - 60ml Thick Dark Amber Glass Tincture Bottles with Eye Droppers, Leakproof",$6.99 ,"4.7 out of 5 stars 4,319  ",,,,
Industrial & Scientific,"Clothing, Shoes & Jewelry","AOZITA Set of 4, 1 oz Eye Dropper Bottles with 1 Stainless Steel Funnels & 4 Labels - 30ml Thick Dark Amber Glass Tincture Bottles - Leakproof Essential Oils Bottle for Storage and Travel",$5.99 ,"4.8 out of 5 stars 3,578  ",,,,
Pet Supplies,Everything Else,"Apasiri Tough Dog Toys for Aggressive Chewers Large Breed, Dog Chew Bone with Beef Flavor, Nylon & Rubber Chew Toy for Medium Large Dogs",$9.85 ,"4.2 out of 5 stars 8,854  ",,,,
Pet Supplies,Sports & Outdoors,API AQUA ESSENTIAL Water Conditioner 16 ounce bottle,$15.75 ,"4.7 out of 5 stars 1,909  ",,,,
Pet Supplies,"Patio, Lawn & Garden",API POND AMMO-LOCK Ammonia detoxifier For Pond Water 64-Ounce Bottle,$42.00 ,4.6 out of 5 stars 514  ,,,,
Industrial & Scientific,Books,"Apologia Exploring Creation with General Science, Textbook, 3rd Edition",$81.97 ,4.2 out of 5 stars 64  ,,,,
Industrial & Scientific,Appliances,"AprilAire 310 Replacement Filter for AprilAire Whole House Air Purifiers - MERV 11, Clean Air & Dust, 20x20x4 Air Filter (Pack of 1)",$56.99 ,"4.8 out of 5 stars 2,132  ",,,,
Baby,Appliances,"AprilAire 4793 Humidifier Maintenance Kit with Water Panel Model No. 10 Humidifier Replacement Filter for AprilAire Whole-House Humidifier Models: 550, 558",$74.54 ,4.7 out of 5 stars 899  ,,,,
Industrial & Scientific,"Clothing, Shoes & Jewelry",Apron Kitchen Funny Creative Cooking Grilling Baking Party Apron Gift For Men,$3.89 ,"4.4 out of 5 stars 1,101  ",,,,
Men's Fashion,,APTRO Men's Cargo Shorts Elastic Waistband Drawstring Summer Casual Cotton Big & Tall Relaxed Fit Work Shorts,$27.99 ,"4.3 out of 5 stars 2,646  ",,,,
Pet Supplies,"Patio, Lawn & Garden","Aqua Ultraviolet AAV20025 Mercury Quartz Lamp for Aquarium, 25-watt",$70.42 ,4.6 out of 5 stars 78  ,,,,
Pet Supplies,Sports & Outdoors,"AQUANEAT 8 Inch Aquarium Fish Net, Wastes Skimming Cleaning Tool with Firm Handle for Fish Tanks Small Ponds",$6.58 ,4.7 out of 5 stars 397  ,,,,
Pet Supplies,Sports & Outdoors,"AQUANEAT Small Fish Tank Shrimp Net, Aquarium Debris Cleaning Tools, with Extendable Handle",$4.87 ,4.5 out of 5 stars 914  ,,,,
Pet Supplies,Electronics,Aquarium Backdrop Underwater World Large Rock Terrarium Background Aquatic Plant with Lush Moss Fish Tank Backdrop Cave Landscape Reptile Habitat Background Tank Wallpaper Poster Vinyl 48x18in,$10.09 ,3.8 out of 5 stars 25  ,,,,
Pet Supplies,Electronics,Aquarium Background Underwater Grass Leaves with Stone Aquarium Backdrop Vivid and Fresh Green Aquatic Plant Stone River Bed and Lake Fish Tank Background Decor Vinyl 48x24in,$8.99 ,3.2 out of 5 stars 27  ,,,,
Pet Supplies,Electronics,Aquarium Background Underwater World Terrarium Backdrop Jungle Style Mushrooms with Lush Moss Fish Tank Background Stream Rock Reptile Habitat Backdrop Tank Wallpaper Poster Vinyl 24x12in,$8.99 ,3.5 out of 5 stars 6  ,,,,
Pet Supplies,Industrial & Scientific,Aquarium Surface Skimmer 65 GPH Flow Rate ‚Ä?Efficient Waste Removal ‚Ä?Ideal for Tanks Up to 100 Gallons ‚Ä?Ideal for Freshwater & Saltwater Compatible,$19.99 ,4.1 out of 5 stars 857  ,,,,
Industrial & Scientific,Pet Supplies,"Aquarium Test Strips, 7-Way Aquarium Test Kit for Freshwater Saltwater,100 Strips Quick and Accurate Fish Tank Pond Test Strips,Test Nitrate, Nitrite, Chlorine,Hardness,Alkalinity, Carbonate, Ph",$9.99 ,4.6 out of 5 stars 130  ,,,,
Pet Supplies,Industrial & Scientific,"Aquarium Test Strips, 7-Way Aquarium Test Kit for Freshwater Saltwater,100 Strips Quick and Accurate Fish Tank Pond Test Strips,Test Nitrate, Nitrite, Chlorine,Hardness,Alkalinity, Carbonate, Ph",$9.99 ,4.6 out of 5 stars 130  ,,,,
Pet Supplies,Industrial & Scientific,"Aquarium Thermometer Digital, LED Fish Tank Thermometer Wireless Accurate Temperature Gauge to ¬±0.9‚Ñ? Aquarium Accessories for Fish Tank, Betta, Axolotl Tank or Aquatic, Replaceable Battery",$9.99 ,4.5 out of 5 stars 149  ,,,,
Women's Fashion,,Arach&Cloz,$24.99 ,4.6 out of 5 stars 760  ,,,,
Electronics,,"arboleaf Massage Gun Deep Tissue, FSA HSA Eligible Items, Full-Metal Electric Portable Hand Held Massager Gun with Case for Back, Body Sore Muscles, Pain Relief, Gifts, Office, Home, Athletes",$52.99 ,"4.7 out of 5 stars 3,267  ",,,,
Industrial & Scientific,Beauty & Personal Care,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",$15.92 ,"4.7 out of 5 stars 7,121  ",,,,
Pet Supplies,Pet Supplies,"ARM & HAMMER Clump & Seal Platinum, Complete Odor Sealing Clumping Cat Litter, Multi-Cat, 14-Day Odor Control, Online Exclusive Formula, 37 Lbs",$34.99 ,"4.6 out of 5 stars 46,908  ",,,,
Pet Supplies,Pet Supplies,"ARM & HAMMER Clump & Seal SLIDE Platinum Multi-Cat Clumping Litter, Easy Clean, Superior Odor Control, 18 Lbs",$18.89 ,"4.6 out of 5 stars 35,870  ",,,,
Pet Supplies,Health & Household,"Arm & Hammer Easy-Tear Disposable Dog And Cat Waste Bags With Activated Baking Soda, 180 Dog Poop Bags, 9 x 14 Inches",$9.99 ,"4.6 out of 5 stars 23,448  ",,,,
Pet Supplies,Health & Household,"ARM HAMMER Naturals Cat Litter, Multi Cat, 18lb Bag",$19.99 ,"4.4 out of 5 stars 8,445  ",,,,
Health & Household,Automotive,"Armor All Car Interior Cleaner Wipes, Car Interior Cleaning Wipes for Dirt and Dust in Cars, Trucks and Motorcycles, 25 Count",$6.99 ,"4.6 out of 5 stars 2,254  ",,,,
Girls' Fashion,,Arshiner,$23.99 ,4.5 out of 5 stars 268  ,,,,
Girls' Fashion,,Arshiner Girls Summer Clothing Sets 2 Piece Outfits Knit Ruched Knot Side Tank Top and High Waist Shorts with Pockets,$19.54 ,4.5 out of 5 stars 103  ,,,,
Men's Fashion,,Arssm 3 Pack Men Oversized T Shirts Vintage Tee Loose Fit Short Sleeve Casual Streetwear Baggy Washed Unisex Tops,$35.99 ,4.4 out of 5 stars 324  ,,,,
Pet Supplies,Beauty & Personal Care,Artero Blanc. Whitening Shampoo for White Dogs and Black Dogs,$19.00 ,"4.6 out of 5 stars 1,210  ",,,,
Pet Supplies,"Patio, Lawn & Garden","Artificial Landscaping Pebbles, Decorative Clay Pebbles Garden Landscaping Stones Gravel Filler for Home Decoration Flower Bed Fish Tank Plants Vases Succulents",$4.74 ,4.4 out of 5 stars 213  ,,,,
Beauty & Personal Care,,"ArtNaturals Organic Rosemary & Castor Hair Growth Oil + Scalp Massager Set ‚Ä?Hair Styling Oils for Dry, Itchy Scalp, Thickening & Hydration - Scalp Oil Products For Damaged Hair & Split Ends ‚Ä?4.0 oz",$14.97 ,"4.4 out of 5 stars 3,838  ",,,,
Boys' Fashion,,Ashmyova Classic Casual Pants for Boys Thin Cotton Stripe Elastics Waist Spring Summer Trousers Toddler Long Pants 2Pcs,$17.99 ,5.0 out of 5 stars 4  ,,,,
Industrial & Scientific,Automotive,"AstroAI Digital Multimeter Tester 2000 Counts with DC AC Voltmeter and Ohm Volt Amp Meter; Measures Voltage, Current, Resistance, Continuity and Diode, Blue",$13.99 ,"4.5 out of 5 stars 47,991  ",,,,
Women's Fashion,,Astylish Women Button Down Denim Shirts Casual Long Sleeve V Neck Chambray Blouse Top,$38.99 ,4.3 out of 5 stars 585  ,,,,
Baby,CDs & Vinyl,ATEEZ THE WORLD EP.1 : MOVEMENT Album DIARY Version 1p Folding Lyrics Poster On Pack+72p Photobooklet+1ea Sticker+1p ID Card+1p PhotoCard+Tracking Sealed,$19.97 ,5.0 out of 5 stars 40  ,,,,
Baby,CDs & Vinyl,ATEEZ THE WORLD EP.1 : MOVEMENT Album Z Version 1p Folding Lyrics Poster On Pack+72p Photobooklet+1ea Sticker+1p ID Card+1p PhotoCard+Tracking Sealed,$27.38 ,4.8 out of 5 stars 796  ,,,,
Industrial & Scientific,Sports & Outdoors,"Athletic Tape,5 Pack White Sports Tape,Very Strong No Sticky Residue Wrist Ankle Tape for Gymnastics Boxing Lacrosse Climbing Hockey Bat Injuries Medical (1.5 Inches)",$8.49 ,"4.5 out of 5 stars 1,643  ",,,,
Industrial & Scientific,Automotive,"ATOLS Plastic Welder, 1000PCS Staples, Plastic Welding Kit, Hot Stapler Kit, Plastic Welder Gun Kit, Car Bumper Repair Kit, Plastic Repair Kit",$21.99 ,"4.6 out of 5 stars 3,273  ",,,,
Baby,Everything Else,"ATTITUDE 2-in-1 Shampoo and Body Wash for Baby, Fragrance-Free EWG Hypoallergenic Plant- and Mineral-Based Ingredients, Vegan and Cruelty-Free, Unscented, 16 Fl Oz",$14.95 ,4.5 out of 5 stars 882  ,,,,
Pet Supplies,Toys & Games,"Aurora World Fancy Pals Pretty Pony Pet Carrier Pink, 5.5""",$17.09 ,4.7 out of 5 stars 390  ,,,,
Pet Supplies,"Patio, Lawn & Garden","Automatic Chicken Coop Door Solar Powered with LCD Display, Automatic Chicken Door with Timer & Light Sensor - Remote Control, Anti-Pinch Safety Design & Durable Aluminum Alloy Construction",$69.99 ,4.8 out of 5 stars 57  ,,,,
Women's Fashion,,AUTOMET,$26.99 ,"4.4 out of 5 stars 6,638  ",,,,
Women's Fashion,,AUTOMET,$14.99 ,4.4 out of 5 stars 239  ,,,,
Women's Fashion,,AUTOMET,$31.99 ,4.4 out of 5 stars 79  ,,,,
Women's Fashion,,AUTOMET,$14.99 ,4.5 out of 5 stars 547  ,,,,
Women's Fashion,,AUTOMET,$25.99 ,4.1 out of 5 stars 506  ,,,,
Women's Fashion,,AUTOMET,$14.99 ,"4.3 out of 5 stars 2,109  ",,,,
Women's Fashion,,AUTOMET,$9.99 ,"4.4 out of 5 stars 2,379  ",,,,
Women's Fashion,,AUTOMET,$9.99 ,"4.4 out of 5 stars 1,931  ",,,,
Baby,Video Games,Avatar: Frontiers of Pandora,$24.00 ,4.6 out of 5 stars 17  ,,,,
Baby,Beauty & Personal Care,"Aveeno Baby Continuous Protection Mineral Sunscreen Stick for Sensitive Skin with Broad Spectrum SPF 50 Protection for Face & Body, Naturally Sourced 100% Zinc Oxide, Travel Size, 0.47 oz",$10.88 ,"4.6 out of 5 stars 4,541  ",,,,
Automotive,Automotive,AWINNER Compatible for Garmin Watch Charger Cable (2 Pack),$5.99 ,"4.4 out of 5 stars 7,821  ",,,,
Baby,Pet Supplies,"Babelio 26-43"" No Bottom Bar Baby Gate for Babies, Elders and Pets, 2-in-1 Hardware Mount Dog Gate for The House, Stairs and Doorways, with Large Walk Thru Door, White",$59.99 ,"4.2 out of 5 stars 3,751  ",,,,
Pet Supplies,Baby Products,"Babelio 26-43"" No Bottom Bar Baby Gate for Babies, Elders and Pets, 2-in-1 Hardware Mount Dog Gate for The House, Stairs and Doorways, with Large Walk Thru Door, White",$59.99 ,"4.2 out of 5 stars 3,751  ",,,,
Pet Supplies,Tools & Home Improvement,"Babelio 26-43"" No Bottom Bar Baby Gate for Babies, Elders and Pets, 2-in-1 Hardware Mount Dog Gate for The House, Stairs and Doorways, with Large Walk Thru Door, White",$59.99 ,"4.2 out of 5 stars 3,751  ",,,,
Baby,Pet Supplies,"Babelio 29.7-46.5"" No Bottom Bar Baby/Dog Gate for Stairs, House and Doorways, Auto Close Safety Pet Gates with Large Walk Thru Door, Hardware Mount, Black",$69.99 ,4.3 out of 5 stars 379  ,,,,
Pet Supplies,Baby Products,"Babelio 29.7-46.5"" No Bottom Bar Baby/Dog Gate for Stairs, House and Doorways, Auto Close Safety Pet Gates with Large Walk Thru Door, Hardware Mount, Black",$69.99 ,4.3 out of 5 stars 379  ,,,,
Pet Supplies,Tools & Home Improvement,"Babelio 29.7-46.5"" No Bottom Bar Baby/Dog Gate for Stairs, House and Doorways, Auto Close Safety Pet Gates with Large Walk Thru Door, Hardware Mount, Black",$69.99 ,4.3 out of 5 stars 379  ,,,,
Baby,Pet Supplies,"Babelio Baby Gate for Doorways and Stairs, 26''-40'' Auto Close Dog/Puppy Gate, Easy Install, Pressure Mounted, No Drilling, fits for Narrow and Wide Doorways, Safety Gate w/Door for Child and Pets",$69.99 ,"4.4 out of 5 stars 4,762  ",,,,
Pet Supplies,Baby Products,"Babelio Baby Gate for Doorways and Stairs, 26''-40'' Auto Close Dog/Puppy Gate, Easy Install, Pressure Mounted, No Drilling, fits for Narrow and Wide Doorways, Safety Gate w/Door for Child and Pets",$69.99 ,"4.4 out of 5 stars 4,762  ",,,,
Pet Supplies,Tools & Home Improvement,"Babelio Baby Gate for Doorways and Stairs, 26''-40'' Auto Close Dog/Puppy Gate, Easy Install, Pressure Mounted, No Drilling, fits for Narrow and Wide Doorways, Safety Gate w/Door for Child and Pets",$69.99 ,"4.4 out of 5 stars 4,762  ",,,,
Baby,CDs & Vinyl,"BaBeloved Bell Rattle Baby Teething Toys Multiple Sensory Montessori Baby Teether Toys Soft Food-Grade Teethers for Babies Rattling Teething Relief, Chew Toy for Babies 0-12 Months, BPA Free",$13.99 ,4.8 out of 5 stars 13  ,,,,
Baby,Automotive,"Baby Car Mirror, DARVIQS Seat Safely Monitor Infant Child in Rear Facing Seat, Wide View Shatterproof Adjustable Acrylic 360¬∞for Backseat, Crash Tested and Certified for Safety",$9.99 ,"4.6 out of 5 stars 17,028  ",,,,
Baby,"Patio, Lawn & Garden","Baby Crib Tent, Crib Tent to Keep Baby from Climbing Out, Durable Strong Self-Locking Zippers, Pop Up Crib Cover Safety Netting Mesh, Mosquito Net for Crib, White Crib Net to Keep Baby in",$39.99 ,4.1 out of 5 stars 16  ,,,,
Pet Supplies,Home & Kitchen,"Baby Gates Wall Pads (4 Pack) - Safety Indoor Gate Protector With Compact Wall Cups - Saves Trim & Paint - for Dog, Pet, Child, Kid - Pressure Mounted Walk Through Guard",$9.99 ,"4.6 out of 5 stars 2,926  ",,,,
